id,startNode,endNode
IHALL00401_IREST00101,IHALL00401,IREST00101
IHALL00301_ILAB00101,IHALL00301,ILAB00101
IWALK01201_IWALK01501,IWALK01201,IWALK01501
IHALL00901_IHALL01401,IHALL00901,IHALL01401
IPARK03001_IWALK00101,IPARK03001,IWALK00101
IHALL01401_IHALL01601,IHALL01401,IHALL01601
IHALL00501_IHALL00401,IHALL00501,IHALL00401
IPARK00301_IWALK01201,IPARK00301,IWALK01201
IHALL02601_IHALL02501,IHALL02601,IHALL02501
IELEV00301_IHALL02501,IELEV00301,IHALL02501
IPARK00901_IWALK01201,IPARK00901,IWALK01201
IHALL03001_IDEPT01001,IHALL03001,IDEPT01001
IHALL01301_IEXIT00101,IHALL01301,IEXIT00101
ISERV00201_IHALL00101,ISERV00201,IHALL00101
IWALK01201_IPARK00901,IWALK01201,IPARK00901
IWALK00101_IPARK02001,IWALK00101,IPARK02001
IWALK01201_IPARK00401,IWALK01201,IPARK00401
IHALL02101_IHALL01701,IHALL02101,IHALL01701
IDEPT00801_IHALL01501,IDEPT00801,IHALL01501
IPARK00601_IWALK01201,IPARK00601,IWALK01201
IPARK02101_IWALK00101,IPARK02101,IWALK00101
IHALL01501_IHALL01401,IHALL01501,IHALL01401
IDEPT00301_IHALL02001,IDEPT00301,IHALL02001
IWALK00901_IWALK00801,IWALK00901,IWALK00801
IHALL01601_IDEPT00901,IHALL01601,IDEPT00901
IHALL01301_IRETL00101,IHALL01301,IRETL00101
IDEPT01001_IHALL03001,IDEPT01001,IHALL03001
IDEPT00401_IHALL00501,IDEPT00401,IHALL00501
IHALL02501_IHALL02401,IHALL02501,IHALL02401
IHALL02901_ILAB00401,IHALL02901,ILAB00401
IWALK00701_IWALK01101,IWALK00701,IWALK01101
IPARK01801_IWALK00101,IPARK01801,IWALK00101
IDEPT00901_IHALL01601,IDEPT00901,IHALL01601
IWALK00101_IPARK01901,IWALK00101,IPARK01901
IWALK00801_IWALK00701,IWALK00801,IWALK00701
IHALL01501_IDEPT00801,IHALL01501,IDEPT00801
IPARK02401_IWALK00101,IPARK02401,IWALK00101
