nodeId,startNode,endNode
ICONF00103_IHALL01503,ICONF00103,IHALL01503
ICONF00104_IHALL01304,ICONF00104,IHALL01304
ICONF00105_IHALL00205,ICONF00105,IHALL00205
ICONF00305_IHALL01505,ICONF00305,IHALL01505
IDEPT00101_IHALL02001,IDEPT00101,IHALL02001
IDEPT00103_IHALL01303,IDEPT00103,IHALL01303
IDEPT00104_IHALL03804,IDEPT00104,IHALL03804
IDEPT00105_IHALL00405,IDEPT00105,IHALL00405
IDEPT00202_IHALL00202,IDEPT00202,IHALL00202
IDEPT00203_IHALL00403,IDEPT00203,IHALL00403
IDEPT00204_IHALL03904,IDEPT00204,IHALL03904
IDEPT00205_IHALL00605,IDEPT00205,IHALL00605
IDEPT00302_IHALL00302,IDEPT00302,IHALL00302
IDEPT00303_IHALL00503,IDEPT00303,IHALL00503
IDEPT00304_IHALL03604,IDEPT00304,IHALL03604
IDEPT00401_IHALL00501,IDEPT00401,IHALL00501
IDEPT00402_IHALL00402,IDEPT00402,IHALL00402
IDEPT00405_IHALL01405,IDEPT00405,IHALL01405
IDEPT00502_IHALL02602,IDEPT00502,IHALL02602
IDEPT00801_IHALL01501,IDEPT00801,IHALL01501
IDEPT00802_IHALL01502,IDEPT00802,IHALL01502
IDEPT00804_IHALL02504,IDEPT00804,IHALL02504
IDEPT00805_IHALL01905,IDEPT00805,IHALL01905
IDEPT00901_IHALL01601,IDEPT00901,IHALL01601
IDEPT00902_IHALL01402,IDEPT00902,IHALL01402
IDEPT00904_IHALL02604,IDEPT00904,IHALL02604
IDEPT00905_IHALL02005,IDEPT00905,IHALL02005
IDEPT01102_IHALL02002,IDEPT01102,IHALL02002
IDEPT01104_IHALL03104,IDEPT01104,IHALL03104
IDEPT01105_IHALL01805,IDEPT01105,IHALL01805
IDEPT01202_IHALL02302,IDEPT01202,IHALL02302
IDEPT01204_IHALL03104,IDEPT01204,IHALL03104
IDEPT01205_IHALL02805,IDEPT01205,IHALL02805
IDEPT01304_IHALL03204,IDEPT01304,IHALL03204
IDEPT01405_IHALL02605,IDEPT01405,IHALL02605
IDEPT01504_IHALL01504,IDEPT01504,IHALL01504
IDEPT01505_IHALL02705,IDEPT01505,IHALL02705
IDEPT01904_IHALL01404,IDEPT01904,IHALL01404
IDEPT01905_IHALL03405,IDEPT01905,IHALL03405
IDEPT02104_IHALL00204,IDEPT02104,IHALL00204
IDEPT02204_IHALL00304,IDEPT02204,IHALL00304
IDEPT02304_IHALL00604,IDEPT02304,IHALL00604
IDEPT02404_IHALL00804,IDEPT02404,IHALL00804
IELEV00101_IELEV00102,IELEV00101,IELEV00102
IELEV00102_IELEV00103,IELEV00102,IELEV00103
IELEV00103_IELEV00104,IELEV00103,IELEV00104
IELEV00104_IELEV00105,IELEV00104,IELEV00105
IELEV00105_IHALL01305,IELEV00105,IHALL01305
IELEV00201_IELEV00202,IELEV00201,IELEV00202
IELEV00201_IHALL02601,IELEV00201,IHALL02601
IELEV00202_IELEV00203,IELEV00202,IELEV00203
IELEV00203_IELEV00204,IELEV00203,IELEV00204
IELEV00203_IHALL02003,IELEV00203,IHALL02003
IELEV00204_IELEV00205,IELEV00204,IELEV00205
IELEV00204_IHALL02004,IELEV00204,IHALL02004
IELEV00301_IELEV00302,IELEV00301,IELEV00302
IELEV00301_IHALL02501,IELEV00301,IHALL02501
IELEV00302_IELEV00303,IELEV00302,IELEV00303
IELEV00303_IELEV00304,IELEV00303,IELEV00304
IELEV00304_IELEV00305,IELEV00304,IELEV00305
IELEV00305_IHALL02505,IELEV00305,IHALL02505
IEXIT00101_IHALL01301,IEXIT00101,IHALL01301
IHALL00102_IDEPT00102,IHALL00102,IDEPT00102
IHALL00102_IHALL00202,IHALL00102,IHALL00202
IHALL00103_IHALL00203,IHALL00103,IHALL00203
IHALL00104_IHALL00204,IHALL00104,IHALL00204
IHALL00104_IHALL01104,IHALL00104,IHALL01104
