nodeId,xcoord,ycoord,floor,building,nodetype,type,longname,shortname,teamassigned,mapId,,,OldY
ICONF00103,46110,48296,3,Faulkner,CONF,LOC,Huvos Auditorium,HAUD,I,Faulkner 3,,,
ICONF00104,51257,36897,4,Faulkner,CONF,LOC,Suites,SUITES,I,Faulkner 4,,,
ICONF00105,45264,27497,5,Faulkner,CONF,LOC,Suite 51,SUITE51,I,Faulkner 5,,,
ICONF00204,18049,83901,4,Faulkner,CONF,LOC,Tynan Conference Room,TCONF,I,Faulkner 4,,,
ICONF00205,55632,26958,5,Faulkner,CONF,LOC,Suite 58,SUITE58,I,Faulkner 5,,,
ICONF00304,44277,83548,4,Faulkner,CONF,LOC,Sodowsky Conference Room,SCONF,I,Faulkner 4,,,
ICONF00305,49565,37132,5,Faulkner,CONF,LOC,Suite 5940,SUITE5940,I,Faulkner 5,,,
ICONF00405,49565,34195,5,Faulkner,CONF,LOC,Suite 5945,SUITE5945,I,Faulkner 5,,,
ICONF00505,48789,83313,5,Faulkner,CONF,LOC,Vacant,VACANT,I,Faulkner 5,,,
IDEPT00101,36531,55816,1,Faulkner,DEPT,LOC,Emergency Department,EMER,I,Faulkner 1,,,
IDEPT00102,29964,43125,2,Faulkner,DEPT,LOC,Material Management,MM,I,Faulkner 2,,,
IDEPT00103,47379,31139,3,Faulkner,DEPT,LOC,Family Patient Resources,FPRES,I,Faulkner 3,,,
IDEPT00104,18119,81316,4,Faulkner,DEPT,LOC,Urology,URO,I,Faulkner 4,,,
IDEPT00105,47168,19036,5,Faulkner,DEPT,LOC,ENT/Eye/Physical/Dermatologist,ENT/EYE/PHYS/DERM,I,Faulkner 5,,,
IDEPT00201,43936,54641,1,Faulkner,DEPT,LOC,Special testing,SPTEST,I,Faulkner 1,,,
IDEPT00202,30740,47708,2,Faulkner,DEPT,LOC,Pharmacy,PHARM,I,Faulkner 2,,,
IDEPT00203,50693,16333,3,Faulkner,DEPT,LOC,Roslindale Pediatric Association,RPA,I,Faulkner 3,,,
IDEPT00204,12338,84018,4,Faulkner,DEPT,LOC,On-Call,On-Call,I,Faulkner 4,,,
IDEPT00205,51186,17273,5,Faulkner,DEPT,LOC,Orthopedic Association,ORTHO,I,Faulkner 5,,,
IDEPT00301,38083,60869,1,Faulkner,DEPT,LOC,Endoscopy,ENDO,I,Faulkner 1,,,
IDEPT00302,29471,56521,2,Faulkner,DEPT,LOC,Morgue,MORG,I,Faulkner 2,,,
IDEPT00303,53090,17273,3,Faulkner,DEPT,LOC,Gynocology/Oncologoy,GYNO/ONCO,I,Faulkner 3,,,
IDEPT00304,36662,80023,4,Faulkner,DEPT,LOC,Department Offices,DEPTOFF,I,Faulkner 4,,,
IDEPT00305,55487,22561,5,Faulkner,DEPT,LOC,BWH Surgical Specialties,BWHSS,I,Faulkner 5,,,
IDEPT00401,48168,36192,1,Faulkner,DEPT,LOC,Cardiac Rehab,CREHAB,I,Faulkner 1,,,
IDEPT00402,30881,65687,2,Faulkner,DEPT,LOC,Central Sterile Supply West,CSSW,I,Faulkner 2,,,
IDEPT00403,55628,18918,3,Faulkner,DEPT,LOC,OB/GYN/Association,OB/GYN/A,I,Faulkner 3,,,
IDEPT00404,40540,83313,4,Faulkner,DEPT,LOC,Medical Library,MEDLIB,I,Faulkner 4,,,
IDEPT00405,51186,34312,5,Faulkner,DEPT,LOC,Endocrinology/Diabetes/Hem-Onc,ENDO,I,Faulkner 5,,,
IDEPT00501,56560,33725,1,Faulkner,DEPT,LOC,MRI/CT,MRI/CT,I,Faulkner 1,,,
IDEPT00502,56615,72502,2,Faulkner,DEPT,LOC,Central Sterile Supply East,CSSE,I,Faulkner 2,,,
IDEPT00503,55981,23854,3,Faulkner,DEPT,LOC,Division of GYN,GYN,I,Faulkner 3,,,
IDEPT00504,59083,80258,4,Faulkner,DEPT,LOC,PATSAFE,PATSAFE,I,Faulkner 4,,,
IDEPT00505,51186,41715,5,Faulkner,DEPT,LOC,Ambulatory Clinic,AMB,I,Faulkner 5,,,
IDEPT00601,51482,37720,1,Faulkner,DEPT,LOC,Pre-Admittance Screening,PSCREEN,I,Faulkner 1,,,
IDEPT00602,33066,80141,2,Faulkner,DEPT,LOC,Biolmedical Engineering,BIOMED,I,Faulkner 2,,,
IDEPT00603,55910,29847,3,Faulkner,DEPT,LOC,Med Staff Lounge,MEDLOUNGE,I,Faulkner 3,,,
IDEPT00604,63525,80023,4,Faulkner,DEPT,LOC,Surgery Department,SURGDEPT,I,Faulkner 4,,,
IDEPT00605,51074,46144,5,Faulkner,DEPT,LOC,Abulatory Care 1,AMB1,I,Faulkner 5,,,
IDEPT00701,61567,34900,1,Faulkner,DEPT,LOC,Radiology,RADIO,I,Faulkner 1,,,
IDEPT00702,45546,82373,2,Faulkner,DEPT,LOC,Psych/Addiction Care,PACARE,I,Faulkner 2,,,
IDEPT00704,63454,82961,4,Faulkner,DEPT,LOC,Primary Care Physicians,PCP,I,Faulkner 4,,,
IDEPT00705,51257,50293,5,Faulkner,DEPT,LOC,Ambulatory Care 2,AMB2,I,Faulkner 5,,,
IDEPT00801,74121,51468,1,Faulkner,DEPT,LOC,Recovery,RECOV,I,Faulkner 1,,,
IDEPT00802,58730,58754,2,Faulkner,DEPT,LOC,Physical Therapy,PTHERAPY,I,Faulkner 2,,,
IDEPT00804,68390,80376,4,Faulkner,DEPT,LOC,QUALIMP,QUALIMP,I,Faulkner 4,,,
IDEPT00805,51257,53231,5,Faulkner,DEPT,LOC,Ambulatory Care 3,AMB3,I,Faulkner 5,,,
IDEPT00901,57336,55934,1,Faulkner,DEPT,LOC,Operation Rooms,ORS,I,Faulkner 1,,,
IDEPT00902,58660,65334,2,Faulkner,DEPT,LOC,Occupational Therapy,OTHERAPY,I,Faulkner 2,,,
IDEPT00904,71844,80258,4,Faulkner,DEPT,LOC,SURGSPEC,SURGSPEC,I,Faulkner 4,,,
IDEPT00905,51327,57696,5,Faulkner,DEPT,LOC,Ambulatory Care 4,AMB4,I,Faulkner 5,,,
IDEPT01001,83007,76380,1,Faulkner,DEPT,LOC,Operation Room,OR,I,Faulkner 1,,,
IDEPT01002,65922,81198,2,Faulkner,DEPT,LOC,Psychiatric Inpatient Care,PICARE,I,Faulkner 2,,,
IDEPT01004,79952,83313,4,Faulkner,DEPT,LOC,VP Clinical Services,VPCSERV,I,Faulkner 4,,,
IDEPT01005,49635,41950,5,Faulkner,DEPT,LOC,Internal Medicine/Headache,HEAD,I,Faulkner 5,,,
IDEPT01102,55346,30904,2,Faulkner,DEPT,LOC,Plastic Surgery,PSURGERY,I,Faulkner 2,,,
IDEPT01104,85452,80376,4,Faulkner,DEPT,LOC,Foot and Ankle Center,FACENT,I,Faulkner 4,,,
IDEPT01105,49635,50411,5,Faulkner,DEPT,LOC,BWH Primary Care Physicians,PHYS,I,Faulkner 5,,,
IDEPT01202,47027,19271,2,Faulkner,DEPT,LOC,Otolaryngology,OTOL,I,Faulkner 2,,,
IDEPT01204,85452,83431,4,Faulkner,DEPT,LOC,BWH Plastics,BWH,I,Faulkner 4,,,
IDEPT01205,47732,75088,5,Faulkner,DEPT,LOC,Nursing Staff Development,NSD,I,Faulkner 5,,,
IDEPT01304,89400,80376,4,Faulkner,DEPT,LOC,Spine FAC,SPINEFAC,I,Faulkner 4,,,
IDEPT01305,51186,71092,5,Faulkner,DEPT,LOC,X-Ray Waiting,XRAYWAIT,I,Faulkner 5,,,
IDEPT01404,92573,80141,4,Faulkner,DEPT,LOC,IS,IS,I,Faulkner 4,,,
IDEPT01405,55487,81786,5,Faulkner,DEPT,LOC,Oncology Clinic west,ONCW,I,Faulkner 5,,,
IDEPT01504,49706,56874,4,Faulkner,DEPT,LOC,MOHS Clinic,MOHSC,I,Faulkner 4,,,
IDEPT01505,93842,80963,5,Faulkner,DEPT,LOC,Oncology Clinic east,ONCE,I,Faulkner 5,,,
IDEPT01604,51398,70152,4,Faulkner,DEPT,LOC,Lung Research,LUNGRES,I,Faulkner 4,,,
IDEPT01605,38284,83431,5,Faulkner,DEPT,LOC,Outpatient Infusion Center,OIC,I,Faulkner 5,,,
IDEPT01704,51257,62044,4,Faulkner,DEPT,LOC,Nurses Suite,NURSES,I,Faulkner 4,,,
IDEPT01705,38213,80258,5,Faulkner,DEPT,LOC,Residents,RES,I,Faulkner 5,,,
IDEPT01804,51116,56874,4,Faulkner,DEPT,LOC,Pulmonary Services,PSERV,I,Faulkner 4,,,
IDEPT01805,32361,80141,5,Faulkner,DEPT,LOC,HemoDialysis,HEMO,I,Faulkner 5,,,
